a	a:
afl	a p l_0
afla	a p l a
aflagrandi	a p l a k r a n t I
aflahlutdeilda	a p l a l_0 Y: t ei l t a
aflahlutdeildar	a p l a l_0 Y: t ei l t a r
aflahlutdeildir	a p l a l_0 Y: t ei l t I r
aflahlutdeildum	a p l a l_0 Y: t ei l t Y m
aflamarks	a p l a m a r_0 k s
aflann	a p l a n
aflans	a p l a n s
aflanum	a p l a n Y m
aflar	a p l a r
aflað	a p l a D
aflaði	a p l a D I
afleggjara	a v l E c a r a
afleggjaranum	a v l E c a r a n Y m
afleiðing	a v l ei D i N k
afleiðinga	a v l ei D i N k a
afleiðingar	a v l ei D i N k a r
afleiðingarnar	a v l ei D i N k a t n a r
afleiðingin	a v l ei D i J c I n
afleiðingum	a v l ei D i N k Y m
afleiðingunum	a v l ei D i N k O n Y m
aflhnefa	a p l n_0 E v a
aflhnefi	a p l n_0 E v I
afli	a p l I
aflinn	a p l I n
afloknu	a v l O h k n Y
afloknum	a v l O h k n Y m
afls	a p l_0 s
afláts	a v l au t s
aflétt	a v l j E h t
aflétta	a v l j E h t a
aflíðandi	a v l i D a n t I
aflóga	a v l ou a
afmarkast	a v m a r_0 k a s t
afmarkaða	a v m a r_0 k a D a
afmyndað	a v m I n t a D
afmyndaðist	a v m I n t a D I s t
afmá	a v m au
afmáir	a v m au I r
afmælinu	a m ai l I n Y
afmælis	a m ai l I s
afmælisbarns	a m ai l I s p a r_0 s
afmælisins	a m ai l I s I n s
afmælistilkynningum	a m ai l I s t I l c I n i N k Y m
afmælið	a m ai l I D
afmörkun	a v m 9 r_0 k Y n
afmörkuð	a v m 9 r_0 k Y D
afmörkuðu	a v m 9 r_0 k Y D Y
afneita	a v n ei t a
afneitað	a v n ei t a D
afneitun	a v n ei t Y n
afnot	a v n O t
afnumin	a v n Y m I n
afnumið	a v n Y m I D
afnáms	a v n au m s
afoxun	a: f O k s Y n
afplána	a v p l au n a
afplánun	a v p l au n Y n
afrakstur	a v r a k s t Y r
afraksturinn	a v r a k s t Y r I n
afrek	a v r E k
afrekað	a v r E k a D
afreki	a v r E c I
afreksbikar	a v r E x s p I: k a r
afreksmaður	a v r E x s m a: D Y r
afreksstig	a v r E x s t I: G
afrekum	a v r E k Y m
afrifu	a v r I v Y
afritunar	a v r I t Y n a r
afritunarhnappinn	a v r I t Y n a r n_0 a h p I n
afréttarlöndin	a v r j E h t a r l 9 n t I n
afréð	a v r j E D
afréðu	a v r j E D Y
afréðum	a v r j E D Y m
afríka	a: f r i k a
afríkans	a: f r i k a n s
afríska	a: f r i s k a
afrískir	a: f r i s c I r
afrískum	a: f r i s k Y m
afsagnar	a f s a k n a r
afsaka	a f s a k a
afsakanirnar	a f s a k a n I t n a r
afsakaðan	a f s a k a D a n
afsakið	a f s a c I D
afsalað	a f s a l a D
afsals	a f s a l s
afsanna	a f s a n a
afskaplega	a f s k a p l E G a
afskekkt	a f s c E x t
afskekkta	a f s c E x t a
afskekktan	a f s c E x t a n
afskekktu	a f s c E x t Y
afskekktum	a f s c E x t Y m
afskiptasemi	a f s c I f t a s E: m I
afskrifta	a v s k r I f t a
afskriftareikning	a v s k r I f t a r ei h k n i N k
afskræmt	a f s k r ai m_0 t
afslappaður	a f s t l a h p a D Y r
afsláttar	a f s t l au h t a r
afslöppuð	a f s t l 9 h p Y D
afsprengi	a f s p r ei J c I
afstaðan	a f s t a D a n
afstaðin	a f s t a D I n
afstæður	a f s t ai D Y r
afsíðis	a f s i D I s
afsökun	a f s 9 k Y n
afsökunar	a f s 9 k Y n a r
aftakan	a f t_h a k a n
aftan	a f t a n
aftansöngur	a f t a n s 9Y N k Y r
aftar	a f t a r
aftari	a f t a r I
aftarlega	a f t a r l E G a
aftast	a f t a s t
aftasta	a f t a s t a
aftra	a f t r a
aftraði	a f t r a D I
aftur	a f t Y r
aftureldingar	a f t Y r E l t i N k a r
aftureldingu	a f t Y r E l t i N k Y
afturendann	a f t Y r E n t a n
afturfæturna	a f t Y r f ai: t Y t n a
afturkvæmt	a f t Y r k v ai m_0 t
afturlöppunum	a f t Y r l 9 h p O n Y m
afturstuðarann	a f t Y r s t Y D a r a n
aftökur	a f t 9 k Y r
afundin	a: v Y n t I n
afundinn	a: v Y n t I n
afurð	a: v Y r D
afurða	a: v Y r D a
afurðanna	a: v Y r D a n a
afurðir	a: v Y r D I r
afurðirnar	a: v Y r D I t n a r
afurðum	a: v Y r D Y m
afviknum	a v I h k n Y m
afvopnun	a v O h p n Y n
afþakka	a f T a h k a
afþakkað	a f T a h k a D
afþakkaði	a f T a h k a D I
afþreying	a f T r ei j i N k
afþreyingar	a f T r ei j i N k a r
afþreyingu	a f T r ei j i N k Y
aga	a: G a
agatha	a: k a t a
aggagagg	a k a k a k
aggi	a c I
aggý	a c i
agi	ai: j I
aginn	ai: j I n
agli	a k l I
agn	a k n_0
agna	a k n a
agnar	a k n a r
agnari	a k n a r I
agnars	a k n a r_0 s
agnarsmáu	a k n a r s m au: Y
agndofa	a k n t O v a
agnes	a k n E s
agnir	a k n I r
agnið	a k n I D
agúrkunni	a: k u r_0 k Y n I
aha	a: h a
ak	a: k
aka	a: k a
akademíunnar	a: k a t E m i j Y n a r
akandi	a: k a n t I
akfeitur	a: k f ei t Y r
aki	a: c I
akkeri	a h c E r I
akkorð	a h k O r D
akkur	a h k Y r
akkúrat	a h k u r a t
aknet	a: k_h n E t
akraborginni	a: k r a p O r c I n I
akrana	a: k r a n a
akranesapótek	a: k r a n E: s a: p ou t E k
akrar	a: k r a r
akrein	a: k r ei n
akreina	a: k r ei n a
akreinar	a: k r ei n a r
akrinum	a: k r I n Y m
akrópólis	a: k r ou p ou l I s
akrýldúkur	a: k r i l t u: k Y r
akstri	a k s t r I
akstur	a k s t Y r
aksturinn	a k s t Y r I n
aksturs	a k s t Y r_0 s
aktu	a x t Y
aktygi	a: k t i I
aktífir	a x t i v I r
aktífur	a x t i v Y r
akur	a: k Y r
akureyrar	a: k Y r ei: r a r
akureyrarbæ	a: k Y r ei r a r p ai:
akureyringa	a: k Y r ei: r i N k a
akureyringar	a: k Y r ei: r i N k a r
akurlöndin	a: k Y r t l 9 n t I n
akuryrkju	a: k Y r I r_0 c Y
akvegur	a: k_h v E G Y r
al	a: l
ala	a: l a
alaska	a: l a s k a
alast	a: l a s t
albana	a l p a n a
albanar	a l p a n a r
albanska	a l p a n s k a
albanskra	a l p a n s k r a
albaníu	a l p a n i j Y
albatros	a l p a t_h r O s
albert	a l p E r_0 t
alberts	a l p E r_0 t s
albesta	a l p E s t a
albjart	a l p j a r_0 t
albjört	a l p j 9 r_0 t
albönsku	a l p 9 n s k Y
albúin	a l p u I n
albúinn	a l p u I n
albúm	a l p u m
alda	a l t a
aldanna	a l t a n a
aldar	a l t a r
aldaraðir	a l t a r a D I r
aldarinnar	a l t a r I n a r
aldeilis	a l t ei l I s
aldimmt	a l t I m_0 t
aldir	a l t I r
aldirnar	a l t I t n a r
aldna	a l t n a
aldni	a l t n I
aldnir	a l t n I r
aldraða	a l t r a D a
aldraðir	a l t r a D I r
aldraðra	a l t r a D r a
aldraðri	a l t r a D r I
aldraður	a l t r a D Y r
aldrei	a l t r ei
aldri	a l t r I
aldrinum	a l t r I n Y m
aldur	a l t Y r
aldurinn	a l t Y r I n
aldurs	a l t Y r_0 s
aldurshópar	a l t Y r_0 s h ou: p a r
aldurstakmarkið	a l t Y r_0 s t a k m a r_0 c I D
aldurtila	a l t Y r t I: l a
aldís	a l t i s
alefli	a: l E p l I
alein	a: l ei n
aleina	a: l ei n a
aleini	a: l ei n I
aleinir	a: l ei n I r
aleinn	a: l ei t n_0
alex	a: l E k s
alexander	a: l E k s a n t E r
alexanders	a: l E k s a n t E r_0 s
alexandra	a: l E k s a n t r a
alfaraleið	a l f a r a l ei: D
alfarið	a l f a r I D
alfonso	a l f O n s O
alfreð	a l f r E D
alfreðs	a l f r E D s
algegnt	a l c E j N_0 t
algeirsborg	a l c ei r_0 s p O r k
algeng	a l c ei N k
algengar	a l c ei N k a r
algengara	a l c ei N k a r a
algengari	a l c ei N k a r I
algengast	a l c ei N k a s t
algengasta	a l c ei N k a s t a
algengir	a l c ei J c I r
algengt	a l c ei N_0 t
algengum	a l c ei N k Y m
algengur	a l c ei N k Y r
algengust	a l c ei N k Y s t
algengustu	a l c ei N k Y s t Y
alger	a l c E r
algera	a l c E r a
algerar	a l c E r a r
algerlega	a l c E r l E G a
algerrar	a l c E r a r
algerri	a l c E r I
algert	a l c E r_0 t
algeru	a l c E r Y
algild	a l c I l t
algilt	a l c I l_0 t
algjör	a l c 9 r
algjöra	a l c 9 r a
algjöran	a l c 9 r a n
algjörlega	a l c 9 r l E G a
algjörri	a l c 9 r I
algjört	a l c 9 r_0 t
algjöru	a l c 9 r Y
algjörum	a l c 9 r Y m
algleymi	a l k l ei m I
algleymingi	a l k l ei m i J c I
algróin	a l k r ou I n
algyðishofið	a l k I D I s h O: v I D
algóðan	a l k ou D a n
algóður	a l k ou D Y r
alheiminn	a: l h ei m I n
alheiminum	a: l h ei m I n Y m
alheimsins	a: l h ei m s I n s
alheimurinn	a: l h ei m Y r I n
alhliða	a l_0 I D a
alhug	a: l_0 Y G
alhuga	a: l h Y G a
alhvítur	a: l k_h v i t Y r
ali	a: l I
alin	a: l I n
alinn	a: l I n
alist	a: l I s t
alið	a: l I D
alkalí	a l k_h a l i
alkalírafhlöður	a l k_h a l i r a f l_0 9 D Y r
alklædd	a l k l ai t
alkominn	a l k O m I n
alkunna	a l k Y n a
alkunnri	a l k_h Y n r I
alkunnu	a l k Y n Y
alkóhólista	a l_0 k ou h ou l I s t a
all	a t l_0
alla	a t l a
allan	a t l a n
allar	a t l a r
allavegana	a t l a v E k a n a
allflestra	a t l_0 f l E s t r a
allforhertur	a t l_0 f O: r h E r_0 t Y r
allhressilega	a t l_0 r_0 E s I l E G a
alli	a l I
allir	a t l I r
allmargar	a t l_0 m a r k a r
allmörg	a t l_0 m 9 r k
allmörgum	a t l_0 m 9 r k Y m
allnokkra	a t l_0 n O h k r a
allnokkrar	a t l_0 n O h k r a r
allnokkrum	a t l_0 n O h k r Y m
allnokkur	a t l_0 n O h k Y r
allnokkuð	a t l_0 n O h k Y D
allnáið	a t l_0 n au I D
alloft	a t l O f t
allra	a t l_0 r a
allrar	a t l_0 r a r
allri	a t l_0 r I
alls	a l s
allsber	a l s p E r
allsberir	a l s p E r I r
allsendis	a l s E n t I s
allsherjar	a l s h E r j a r
allskonar	a l s k O n a r
allskostar	a l s k O s t a r
allskyns	a l s c I n s
allsráðandi	a l s r au D a n t I
allstaðar	a l s t a D a r
allstóran	a t l_0 s t ou: r a n
allt	a l_0 t
alltaf	a l_0 t a v
alltsvo	a l_0 t s O
alltumlykjandi	a l_0 t Y m l I c a n t I
alltént	a t l_0 t j E n_0 t
allur	a t l Y r
allvel	a t l_0 v E: l
allveruleg	a t l_0 v E: r Y l E G
allverulega	a t l_0 v E: r Y l E G a
allverulegt	a t l_0 v E: r Y l E x t
alma	a l m a
almanakið	a l m a n a: c I D
almannafé	a l m a n a f j E:
almannahagsmunir	a l m a n a h a x s m Y n I r
almar	a l m a r
almarsson	a l m a r_0 s O: n
almenn	a l m E n
almenna	a l m E n a
almennan	a l m E n a n
almennar	a l m E n a r
almennari	a l m E n a r I
almenni	a l m E n I
almennileg	a l m E n I l E G
almennilega	a l m E n I l E G a
almennilegan	a l m E n I l E G a n
almennilegir	a l m E n I l ei: j I r
almennilegt	a l m E n I l E x t
almennilegum	a l m E n I l E G Y m
almennilegur	a l m E n I l E G Y r
almenning	a l m E n i N k
almenningi	a l m E n i J c I
almenninginn	a l m E n i J c I n
almenningnum	a l m E n i N k n Y m
almennings	a l m E n i N k s
almenningstindur	a l m E n i N s t I n t Y r
almenningsálitið	a l m E n i N k s au: l I t I D
almenningur	a l m E n i N k Y r
almennir	a l m E n I r
almennra	a l m E n r a
almennrar	a l m E n r a r
almennri	a l m E n r I
almenns	a l m E n s
almennt	a l m E n_0 t
almennum	a l m E n Y m
almennur	a l m E n Y r
almáttugan	a l m au h t Y G a n
almáttugs	a l m au h t Y x s
almáttugur	a l m au h t Y G Y r
almættinu	a l m ai h t I n Y
almættið	a l m ai h t I D
almúgann	a l m u G a n
almúgans	a l m u G a n s
almúginn	a l m u j I n
alnæmi	a l n ai m I
alnæmis	a l n ai m I s
alpagreinar	a l_0 p a k r ei n a r
alpagreinum	a l_0 p a k r ei n Y m
alpaklúbburinn	a l_0 p a k_h l u p Y r I n
alrangt	a l r au N_0 t
alræmda	a l r ai m t a
alræmdu	a l r ai m t Y
alræmdur	a l r ai m t Y r
alræði	a l r ai D I
alríkislögreglunnar	a l r i c I s t l 9 G r E k l Y n a r
als	a l s
alsett	a l s E h t
alsettum	a: l s E h t Y m
alsettur	a l s E h t Y r
alskegg	a l s c E k
alsnjóa	a: l s t n j ou a
alsoddi	a l s O t I
alstaðar	a l s t a D a r
alsæll	a l s ai t l_0
alsælu	a l s ai l Y
alsír	a l s i r
alt	a l_0 t
altalandi	a: l t a: l a n t I
altari	a l_0 t a r I
altarinu	a l_0 t a r I n Y
altaris	a l_0 t a r I s
altarið	a l_0 t a r I D
altekin	a l t E c I n
altekinn	a l t E c I n
altekið	a l t E c I D
alténd	a l t j E n_0 t
alvara	a l v a r a
alvaran	a l v a r a n
alvarleg	a l v a r l E G
alvarlega	a l v a r l E G a
alvarlegan	a l v a r l E G a n
alvarlegar	a l v a r l E G a r
alvarlegasta	a l v a r l E G a s t a
alvarlegir	a l v a r l ei j I r
alvarlegra	a l v a r l E G r a
alvarlegri	a l v a r l E G r I
alvarlegs	a l v a r l E x s
alvarlegt	a l v a r l E x t
alvarlegu	a l v a r l E G Y
alvarlegum	a l v a r l E G Y m
alvarlegur	a l v a r l E G Y r
alvarlegustu	a l v a r l E G Y s t Y
alvarleika	a l v a r l ei: k a
alveg	a l v E G
alveldi	a l v E l t I
alversta	a l v E r_0 s t a
alvitur	a l v I t Y r
alviðru	a l v I D r Y
alvæpni	a l v ai h p n I
alvöru	a l v 9 r Y
alvörugefni	a l v 9 r Y c E p n I
alvöruna	a l v 9 r Y n a
alvörunni	a l v 9 r Y n I
alúð	a: l u D
alúðlegur	a: l u D l E G Y r
alþekkt	a l T E x t
alþingi	a l T i J c I
alþingis	a l T i J c I s
alþjóð	a l T j ou D
alþjóða	a l T j ou D a
alþjóðagjaldeyrissjóðurinn	a l T j ou D a c a l t ei r I s j ou D Y r I n
alþjóðasamfélaginu	a l T j ou D a s a m f j E l ai j I n Y
alþjóðasamfélagið	a l T j ou D a s a m f j E l ai j I D
alþjóðasveitanna	a l T j ou D a s v ei: t a n a
alþjóðasveitirnar	a l T j ou D a s v ei: t I t n a r
alþjóðavæðing	a l T j ou D a v ai: D i N k
alþjóðavæðingar	a l T j ou D a v ai: D i N k a r
alþjóðavæðingu	a l T j ou D a v ai: D i N k Y
alþjóðlegan	a l T j ou D l E G a n
alþjóðlegi	a l T j ou D l ei j I
alþjóðlegir	a l T j ou D l ei j I r
alþjóðlegrar	a l T j ou D l E G r a r
alþjóðlegum	a l T j ou D l E G Y m
alþýða	a l T i D a
alþýðan	a l T i D a n
alþýðu	a l T i D Y
alþýðubandalaginu	a l T i D Y p a n t a l ai j I n Y
alþýðunnar	a l T i D Y n a r
alþýðunni	a l T i D Y n I
ama	a: m a
amalegt	a: m a l E x t
amalía	a: m a l i j a
amalíu	a: m a l i j Y
amanda	a: m a n t a
amar	a: m a r
amast	a: m a s t
amaði	a: m a D I
ambassadorinn	a m p a s a t O r I n
ambátt	a m p au h t
ambáttin	a m p au h t I n
ambáttir	a m p au h t I r
amen	a: m E n
ameríka	a: m E r i k a
ameríkana	a: m E r i k a: n a
ameríkanar	a: m E r i k a: n a r
ameríkanarnir	a: m E r i k a n a t n I r
ameríkani	a: m E r i k a: n I
ameríkaninn	a: m E r i k a: n I n
ameríku	a: m E r i k Y
amerísk	a: m E r i s k
ameríska	a: m E r i s k a
amerískan	a: m E r i s k a n
amerískar	a: m E r i s k a r
ameríski	a: m E r i s c I
amerískir	a: m E r i s c I r
amerískri	a: m E r i s k r I
amerískt	a: m E r i s t
amerísku	a: m E r i s k Y
amerískum	a: m E r i s k Y m
amerískur	a: m E r i s k Y r
ametyst	a: m E t I s t
amfetamín	a m f E t a m i: n
amfetamíni	a m f E t a m i: n I
amfetamíns	a m f E t a m i n s
amma	a m a
amman	a m a n
amper	a m_0 p E r
amsterdam	a m s t E r t a m
amstri	a m s t r I
amstur	a m s t Y r
amtmanni	a m_0 t m a n I
amtmanns	a m_0 t m a n s
amtmannsins	a m_0 t m a n s I n s
amtmaður	a m_0 t m a D Y r
amtsbókasafnið	a m_0 t s p ou k a s a p n I D
ana	a: n a
ananas	a: n a n a s
anarkismi	a: n a r c I s m I
anarkista	a: n a r c I s t a
anarkistar	a: n a r c I s t a r
anda	a n t a
andakt	a n t a x t
andaktugur	a n t a x t Y G Y r
andalúsíu	a n t a l u s i j Y
andann	a n t a n
andans	a n t a n s
andanum	a n t a n Y m
andapollinn	a n t a p_h O t l I n
andar	a n t a r
andardráttinn	a n t a r t r au h t I n
andardráttur	a n t a r t r au h t Y r
andardrátturinn	a n t a r t r au h t Y r I n
andardrættinum	a n t a r t r ai h t I n Y m
andarnir	a n t a t n I r
andarslitrunum	a n t a r s t l I t r O n Y m
andartakið	a n t a r t a: c I D
andartaks	a n t a r t a k s
andartaksins	a n t a r t a k s I n s
andartaksstund	a n t a r t a k s t Y n t
andartaksþögn	a n t a r t a k s T 9 k n_0
andast	a n t a s t
andað	a n t a D
andaði	a n t a D I
andaðist	a n t a D I s t
andaðu	a n t a D Y
andblæ	a n t p l ai
andblæinn	a n t p l ai j I n
andblær	a n t p l ai r
anddyri	a n t I r I
anddyrinu	a n t I r I n Y
anddyrið	a n t I r I D
anders	a n t E r_0 s
andersen	a n t E r_0 s E n
andersens	a n t E r_0 s E n s
andes	a n t E s
andesfjöllin	a n t E s f j 9 t l I n
andfuglum	a n t f Y k l Y m
andfúll	a n t f u t l_0
andhverfu	a n t k v E r v Y
andhéri	a n t C E: r I
andinn	a n t I n
andkommúnista	a n t k_h O m u n I s t a
andköf	a n t k 9 v
andköfum	a n t k 9 v Y m
andleg	a n t l E G
andlega	a n t l E G a
andlegan	a n t l E G a n
andlegar	a n t l E G a r
andlegir	a n t l ei j I r
andlegra	a n t l E G r a
andlegrar	a n t l E G r a r
andlegri	a n t l E G r I
andlegs	a n t l E x s
andlegt	a n t l E x t
andlegu	a n t l E G Y
andlegum	a n t l E G Y m
andlegur	a n t l E G Y r
andlit	a n t l I t
andliti	a n t l I t I
andlitin	a n t l I t I n
andlitinu	a n t l I t I n Y
andlitið	a n t l I t I D
andlits	a n t l I t s
andlitsdrættir	a n t l I t s t r ai h t I r
andlitsdrættirnir	a n t l I t s t r ai h t I t n I r
andlitsins	a n t l I t s I n s
andlitslyftingu	a n t l I t s t l I f t i N k Y
andlitslyftur	a n t l I t s t l I f t Y r
andlitssnyrtingu	a n t l I t s t n I r_0 t i N k Y
andlitsvatnið	a n t l I t s v a h t n I D
andlitum	a n t l I t Y m
andlát	a n t l au t
andláti	a n t l au t I
andlátið	a n t l au t I D
andláts	a n t l au t s
andmæla	a n t m ai l a
andmæli	a n t m ai l I
andmælt	a n t m ai l_0 t
andmælti	a n t m ai l_0 t I
andmælum	a n t m ai l Y m
andorra	a n t O r a
andra	a n t r a
andrea	a n t r E a
andreas	a n t r E a s
andri	a n t r I
andrá	a n t r au
andráin	a n t r au I n
andránni	a n t r au n I
andrésar	a n t r j E s a r
andrési	a n t r j E s I
andríkur	a n t r i k Y r
andrúmsloft	a n t r u m s t l O f t
andrúmslofti	a n t r u m s t l O f t I
andrúmsloftinu	a n t r u m s t l O f t I n Y
andskota	a n s k O t a
andskotann	a n s k O t a n
andskotans	a n s k O t a n s
andskotar	a n s k O t a r
andskotast	a n s k O t a s t
andskoti	a n s k O t I
andskotinn	a n s k O t I n
andskáldsöguna	a n t s k au l t s 9 G Y n a
andsnúinn	a n t s t n u I n
andsnúnir	a n t s t n u n I r
andspyrnu	a n t s p I t n Y
andspænis	a n t s p ai n I s
andstaða	a n t s t a D a
andstaðan	a n t s t a D a n
andstreymi	a n t s t r ei m I
andstutt	a n t s t Y h t
andstyggilega	a n t s t I c I l E G a
andstyggilegur	a n t s t I c I l E G Y r
andstyggð	a n t s t I G D
andstyggðar	a n t s t I G D a r
andstætt	a n t s t ai h t
andstæð	a n t s t ai D
andstæða	a n t s t ai D a
andstæðar	a n t s t ai D a r
andstæðing	a n t s t ai D i N k
andstæðinga	a n t s t ai D i N k a
andstæðinganna	a n t s t ai D i N k a n a
andstæðingar	a n t s t ai D i N k a r
andstæðingarnir	a n t s t ai D i N k a t n I r
andstæðinginn	a n t s t ai D i J c I n
andstæðingum	a n t s t ai D i N k Y m
andstæðingur	a n t s t ai D i N k Y r
andstæðingurinn	a n t s t ai D i N k Y r I n
andstæðu	a n t s t ai D Y
andstæðum	a n t s t ai D Y m
andstæður	a n t s t ai D Y r
andstöðu	a n t s t 9 D Y
andstöðuflokkur	a n t s t 9 D Y f l O h k Y r
andsvar	a n t s v a r
andvaka	a n t v a k a
andvana	a n t v a n a
andvara	a n t v a r a
andvari	a n t v a r I
andvarpandi	a n t v a r_0 p a n t I
andvarpaði	a n t v a r_0 p a D I
andvarpi	a n t v a r_0 p I
andvirði	a n t v I r D I
andvíg	a n t v i G
andvígir	a n t v i j I r
andvígur	a n t v i G Y r
andvörpum	a n t v 9 r_0 p Y m
andæfa	a n t ai v a
andóf	a n t ou v
andúð	a n t u D
andúðar	a n t u D a r
andúðin	a n t u D I n
ang	au N k
anga	au N k a
angan	au N k a n
angandi	au N k a n t I
anganin	au N k a n I n
angar	au N k a r
angela	a n c E l a
angelu	a n c E l Y
angi	au J c I
anginn	au J c I n
angist	au J c I s t
angistar	au J c I s t a r
angistarfull	au J c I s t a r f Y t l_0
angra	au N k r a
angrar	au N k r a r
angraði	au N k r a D I
angri	au N k r I
angur	au N k Y r
angurfull	au N k Y r f Y t l_0
angurvært	au N k Y r v ai r_0 t
angurværu	au N k Y r v ai: r Y
angurværð	au N k Y r v ai r D
angóla	a N k ou l a
anja	a n j a
ankara	a N_0 k a r a
ann	a n
anna	a n a
annan	a n a n
annar	a n a r
annarlegum	a n a r l E G Y m
annarra	a n a r a
annarrar	a n a r a r
annarri	a n a r I
annars	a n a r_0 s
annarskonar	a n a r_0 s k O n a r
annarsstaðar	a n a r_0 s t a D a r
annarsvegar	a n a r_0 s v E G a r
annast	a n a s t
annað	a n a D
annaðhvort	a n a D k v O r_0 t
anni	a n I
annika	a n I h k a
anniku	a n I k Y
annir	a n I r
annist	a n I s t
annmarka	a n m a r_0 k a
annmarkar	a n m a r_0 k a r
annmörkum	a n m 9 r_0 k Y m
annríki	a n r i c I
annríkt	a n r i x t
annt	a n_0 t
annálaður	a n au l a D Y r
ansar	a n s a r
ansaði	a n s a D I
ansi	a n s I
anton	a n_0 t O n
antonsdóttir	a n_0 t O n s t ou h t I r
antonsson	a n_0 t O n s O: n
antí	a n_0 t i
aníta	a: n i t a
anítu	a: n i t Y
apar	a: p a r
apasýningar	a: p a s i: n i N k a r
apategundar	a: p a t E: G Y n t a r
api	a: p I
apparat	a h p a r a t
appelsín	a h p E l s i n
appelsínu	a h p E l s i n Y
appelsínuberki	a h p E l s i n Y p E r_0 c I
appelsínugula	a h p E l s i n Y k Y: l a
appelsínugult	a h p E l s i n Y k Y l_0 t
appelsínugulum	a h p E l s i n Y k Y: l Y m
appelsínum	a h p E l s i n Y m
appelsínur	a h p E l s i n Y r
appelsínurnar	a h p E l s i n Y t n a r
apótek	a: p ou t E: k
apóteka	a: p ou t E: k a
apótekanna	a: p ou t E: k a n a
apótekaraeyju	a: p ou t E: k a r a ei: j Y
apótekinu	a: p ou t E: c I n Y
apótekið	a: p ou t E: c I D
apótekum	a: p ou t E: k Y m
ara	a: r a
araba	a: r a p a
arabía	a: r a p i j a
arabíska	a: r a p i s k a
arabísku	a: r a p i s k Y
arabíu	a: r a p i j Y
aragrúa	a: r a k r u a
aragrúi	a: r a k r u I
arf	a r v
arfa	a r v a
arfavont	a r v a v O n_0 t
arfberar	a r v p E: r a r
arfblendnir	a r v p l E n t n I r
arfgerð	a r v c E r D
arfgerða	a r v c E r D a
arfi	a r v I
arfinn	a r v I n
arfinum	a r v I n Y m
arfleiddi	a r v l ei t I
arfleifð	a r v l ei v D
arftaka	a r v t a k a
arftaki	a r v t a c I
arfur	a r v Y r
